ideas.starbucks.com                                     98.99.253.7
id.gtm.starbucks.com                                    98.99.254.9
id-iad.starbucks.com                                    98.99.254.9
id.starbucks.com                                        98.99.254.9
ie.starbucks.com                                        204.74.99.103
ingress.np.playbuilder.starbucks.com                    13.107.246.13
ingress.playbuilder.starbucks.com                       13.107.246.13
inmail-kyn.starbucks.com                                185.204.152.73
integration.ucpc.starbucks.com                          34.237.118.155
intg.mfa.starbucks.com                                  52.226.140.33
intl.starbucks.com                                      98.99.252.57
investor.starbucks.com                                  162.159.130.11
ipm-cert.starbucks.com                                  98.99.250.173
ipm-chd.starbucks.com                                   98.99.250.217
ipm-dev.starbucks.com                                   98.99.250.166
ipm.starbucks.com                                       98.99.250.217
jdsbeta.starbucks.com                                   98.99.248.53
jiratest.starbucks.com                                  104.18.28.62
jobs.starbucks.com                                      204.74.99.103
jssdev.starbucks.com                                    104.42.15.204
jsslab.starbucks.com                                    52.160.81.171
jss.starbucks.com                                       13.91.89.122
kdreq-a.starbucks.com                                   98.99.254.36
kdreq-a-v9.starbucks.com                                98.99.254.203
kdreq-v9-cert.starbucks.com                             98.99.254.213
kdretail-a.starbucks.com                                98.99.254.149
kdretail-a-v9.starbucks.com                             98.99.254.202
kdretail-v9-cert.starbucks.com                          98.99.254.214
kms-asp-pd.starbucks.com                                23.96.84.143
la4p01lppmta700.a.starbucks.com                         38.119.56.218
la4p01lppmta701.a.starbucks.com                         38.119.56.219
labaccess.starbucks.com                                 12.18.141.67
l.a.starbucks.com                                       173.213.4.70
ld00.gifts.starbucks.com                                13.92.172.46
ld00.mfa.starbucks.com                                  255.255.255.255
ld01.gifts.starbucks.com                                40.112.215.208
ldap-chd2.starbucks.com                                 98.99.250.57
ldap-chd.starbucks.com                                  204.238.150.15
ldap.gtm.starbucks.com                                  98.99.254.57
ldap-iad.starbucks.com                                  98.99.254.57
ldap.starbucks.com                                      98.99.254.57
Ldap.starbucks.com                                      98.99.254.57
l.e.starbucks.com                                       173.213.4.70
l.e.stories.starbucks.com                               173.213.4.70
livingourvalues.starbucks.com                           98.99.253.7
loadacme-chd.starbucks.com                              98.99.248.39
loadapi-chd.starbucks.com                               98.99.248.31
loadconnect-chd.starbucks.com                           98.99.248.32
load-digitalcontent-origin.starbucks.com                98.99.248.59
loadfederate.starbucks.com                              98.99.248.108
loadglobalassets.starbucks.com                          23.211.75.75
loadglobalsecureui.starbucks.com                        98.99.248.158
LoadGlobalsecureui.starbucks.com                        98.99.248.158
loadglobalwcmsvcs-chd.starbucks.com                     98.99.248.62
loadgreen.starbucks.com                                 98.99.248.57
loadhost.openapi-chd.starbucks.com                      98.99.248.33
load.mfa.starbucks.com                                  52.224.136.134
load.openapi.starbucks.com                              35.226.134.126
Load.openapi.starbucks.com                              35.226.134.126
load.parity.starbucks.com                               52.44.167.179
loadsecurepaymentprocessor.starbucks.com                98.99.250.240
loadsecurepayment.starbucks.com                         98.99.248.211
loadsecurepostback.openapi.starbucks.com                98.99.250.207
Loadsecurepostback.openapi.starbucks.com                98.99.250.207
loadsecureui-chd.starbucks.com                          98.99.248.38
loadsecureui.starbucks.com                              98.99.248.38
loadsecureui.starbucks.com.br                           98.99.248.158
load.sei.starbucks.com                                  13.107.246.13
loadstorelanding-chd.starbucks.com                      98.99.248.58
load.ucp.starbucks.com                                  35.226.134.126
loadwcmsvcs-chd.starbucks.com                           98.99.248.34
loadwww-chd.starbucks.com                               98.99.248.35
loadwww.starbucks.com                                   98.99.248.35
lyncdiscover.starbucks.com                              98.99.250.192
Lyncdiscover.starbucks.com                              98.99.250.192
mail-chd.starbucks.com                                  98.99.250.8
mail-iad.starbucks.com                                  98.99.254.8
mail.starbucks.com                                      98.99.254.8
main.mfa.starbucks.com                                  52.191.217.62
m.a.starbucks.com                                       207.251.96.215
master.api.martech.starbucks.com                        34.237.118.183
mcdn-cert.starbucks.com                                 98.99.254.86
mcdn-edge-cert.starbucks.com                            23.199.51.138
mcdn-edge.starbucks.com                                 23.199.51.139
mcdn.starbucks.com                                      98.99.254.12
mdm.starbucks.com                                       192.30.68.56
mdpjs.nonprod2.starbucks.com                            40.83.215.52
mdpjs.nonprod.starbucks.com                             168.61.21.14
mdpjs-westus.starbucks.com                              104.42.189.35
media.scm.starbucks.com                                 98.99.254.230
media.scmtest.starbucks.com                             98.99.252.195
meet.starbucks.com                                      98.99.250.192
members.starbucks.com                                   204.74.99.103
mena.card.starbucks.com                                 168.187.79.8
mena.starbucks.com                                      168.187.252.143
m.e.starbucks.com                                       207.251.96.215
me.starbucks.com                                        204.74.99.103
